id	sample1	sample2	sample3	sample4	sample5	sample6
gene648	25.7	30.06	37.31	50.06	47.27	50.4
gene649	1.07	5.39	5.61	284.09	370.44	319.06
gene650	532.91	644.95	719.0	716.27	1094.39	760.9
gene651	51.0	79.73	82.87	124.49	132.04	125.02
gene652	50.99	51.11	72.47	55.94	40.11	43.48
gene653	0.12	0.13	0.41	1.0	0.25	0.97
gene654	27.28	42.16	43.22	35.31	52.41	44.83
gene655	11.5	18.43	14.19	14.64	13.9	20.61
gene656	41.74	49.56	33.99	65.74	83.9	67.21
gene657	10.33	14.95	11.29	14.47	12.52	16.74
gene658	1.73	1.62	0.88	0.73	1.46	2.16
gene659	39.86	52.29	57.39	68.18	73.94	63.25
gene660	0.32	0.57	0.36	0.34	0.66	0.54
gene661	18.1	21.23	20.26	37.31	37.45	35.24
gene662	40.64	34.58	39.4	92.64	51.02	78.76
gene663	5.99	6.6	6.08	9.69	5.66	7.25
gene664	1.42	0.0	1.54	3.42	3.05	3.33
gene665	18.05	8.62	8.94	8.31	7.97	10.08
gene666	17.41	14.44	12.6	14.96	12.78	19.53
gene667	81.72	108.59	116.54	99.57	146.33	121.28
gene668	116.26	119.86	123.48	72.43	76.64	71.34
gene669	4.84	6.65	7.25	7.37	5.22	5.91
gene670	470.6	915.8	711.39	598.21	811.19	689.97
gene671	1.94	2.46	3.64	5.19	4.4	4.19
gene672	117.71	133.0	163.5	894.58	779.87	764.67
gene673	93.66	118.62	120.37	182.05	180.08	169.95
gene674	3.76	2.47	1.76	5.8	2.38	4.85
gene675	69.42	95.6	101.14	86.75	122.4	94.93
gene676	6.11	11.0	9.98	13.27	11.78	11.28
gene677	4.79	6.98	6.54	13.02	18.22	14.61
gene678	3.89	2.44	4.52	5.42	4.48	5.0
gene679	0.0	7.08	5.09	8.22	10.35	9.63
gene680	11.58	18.44	17.65	33.9	43.13	35.64
gene681	11.03	20.03	22.97	27.2	33.4	33.38
gene682	38.68	48.31	43.69	59.1	73.34	62.74
gene683	35.53	52.65	52.83	60.77	72.32	67.08
gene684	50.76	48.28	71.18	432.78	505.75	471.82
gene685	4.7	10.82	9.04	4.73	9.74	6.44
gene686	229.27	166.36	205.23	83.74	50.68	46.72
gene687	23.37	12.54	24.9	27.68	9.06	25.62
gene688	9.3	12.62	17.67	20.18	20.46	19.22
gene689	33.3	54.19	50.49	85.73	105.93	90.56
gene690	4.84	6.15	6.14	3.32	3.3	4.04
gene691	16.11	25.48	25.54	69.86	75.78	73.31
gene692	8.7	25.71	28.04	45.84	40.86	38.62
gene693	5.36	9.69	13.18	3.21	3.63	3.85
gene694	2.92	7.36	7.87	3.99	7.29	5.71
gene695	8.74	9.57	7.05	9.78	7.61	13.82
gene696	46.89	89.71	74.28	145.01	173.45	164.86
gene697	566.26	376.37	521.61	399.29	259.71	309.84
gene698	2.35	2.34	2.4	5.27	4.64	6.13
gene699	13.48	12.66	10.95	18.73	21.62	21.91
gene700	21.47	31.66	33.93	30.21	41.4	31.57
gene701	4.84	1.99	3.7	3.67	2.42	3.16
gene702	22.08	36.8	27.99	51.67	70.65	73.03
gene703	16.57	15.26	17.75	27.05	24.35	28.71
gene704	11.55	17.99	20.78	4.62	5.76	4.54
gene705	2.39	5.46	6.72	8.68	9.64	5.62
gene706	21.62	38.15	24.61	38.54	41.21	38.37
gene707	403.82	516.86	620.39	427.21	638.18	423.54
gene708	89.3	145.7	186.44	128.0	87.08	126.97
gene709	6.73	6.56	5.69	7.19	6.24	5.24
gene710	97.23	131.06	137.66	94.77	135.1	108.13
gene711	1.58	3.04	4.0	8.61	8.75	11.87
gene712	87.87	136.16	132.99	515.59	919.41	618.55
gene713	15.01	23.46	17.57	21.98	17.09	30.76
gene714	11.08	2.29	0.0	5.69	1.92	0.0
gene715	15.69	40.8	35.05	50.26	40.77	39.25
gene716	29.3	23.73	36.96	25.73	21.47	20.48
gene717	67.93	47.85	58.58	92.1	30.5	62.64
gene718	12.74	15.11	17.5	23.3	25.02	26.08
gene719	56.93	64.09	74.94	176.32	160.94	178.67
gene720	6.74	7.13	7.12	9.11	8.15	14.25
gene721	49.26	65.57	78.53	112.57	83.65	103.1
gene722	695.44	618.03	718.09	678.37	875.93	785.74
gene723	39.29	60.7	63.19	49.34	67.6	55.28
gene724	1.55	1.84	1.31	1.73	1.58	1.97
gene725	26.28	47.65	49.16	105.83	110.44	110.43
gene726	8.0	9.58	12.77	17.19	16.27	15.92
gene727	5.25	0.0	0.77	3.26	1.3	3.83
gene728	70.58	85.13	97.43	118.3	120.96	111.33
gene729	9.96	14.16	16.44	20.94	17.17	17.94
gene730	18.18	27.98	29.03	84.17	98.38	81.4
gene731	87.46	125.15	142.25	23.25	21.59	29.05
gene732	171.68	261.3	334.89	74.53	61.33	72.0
gene733	14.88	17.85	28.58	24.61	21.88	22.32
gene734	589.78	677.17	736.5	561.63	549.54	512.5
gene735	2.42	4.87	5.2	7.03	6.44	5.96
gene736	0.0	0.0	0.0	0.0	0.0	1.82
gene737	44.09	61.15	59.7	143.18	89.82	117.42
gene738	105.1	129.84	142.34	196.02	296.57	209.49
gene739	135.33	106.99	130.19	134.59	64.92	112.29
gene740	93.97	117.76	128.04	245.01	302.11	263.59
gene741	54.06	45.06	58.22	74.12	71.29	74.47
gene742	407.75	486.95	523.53	351.26	292.43	328.33
gene743	5.45	6.5	4.62	11.78	10.04	9.23
gene744	0.0	0.64	0.69	0.0	1.75	0.57
gene745	0.0	0.0	0.0	2.24	0.0	1.11
gene746	7.88	9.86	8.0	7.75	4.55	8.36
gene747	13.46	17.52	23.08	39.29	52.26	41.16
gene748	926.68	1032.73	1170.64	1348.77	1502.74	1269.63
gene749	119.31	194.23	200.85	178.97	276.8	196.3
gene750	26.72	39.76	41.99	61.06	54.86	57.74
gene751	22.82	36.25	34.72	40.11	20.83	45.21
gene752	27.17	39.48	41.82	43.26	49.36	46.07
gene753	108.8	134.33	138.54	96.38	117.94	95.98
gene754	10.34	18.29	20.39	13.92	11.89	13.02
gene755	40.94	53.94	58.08	47.85	51.21	49.96
gene756	9.44	5.99	8.25	7.52	9.3	6.56
gene757	255.16	292.47	289.35	223.12	155.73	193.4
gene758	212.54	390.85	405.22	277.86	398.18	325.98
gene759	6.56	7.74	7.51	4.56	5.92	4.78
gene760	32.33	38.98	41.27	57.6	71.4	57.96
gene761	2.25	1.99	3.95	2.95	2.51	2.2
gene762	774.73	1384.36	1633.77	1518.53	2021.54	1403.68
gene763	6.33	4.36	6.8	22.92	11.8	21.26
gene764	0.92	1.9	3.56	2.76	0.46	3.8
gene765	13.77	19.12	16.98	20.87	27.21	22.15
gene766	1.42	4.79	4.23	6.93	6.38	6.87
gene767	9.83	24.56	28.22	27.26	22.26	22.37
gene768	203.14	256.35	316.69	302.91	373.52	355.45
gene769	11.3	21.49	24.21	17.84	20.76	20.32
gene770	3.87	5.25	5.6	5.89	7.05	6.7
gene771	18.19	26.55	39.9	4.73	4.96	4.95
gene772	8.21	2.15	7.52	7.02	7.47	11.25
gene773	32.33	55.09	51.95	53.68	51.42	51.36
gene774	0.0	0.0	16.67	6.17	6.25	12.33
gene775	201.62	265.67	233.42	108.69	133.23	108.39
gene776	22.45	36.67	29.3	28.46	39.88	32.85
gene777	1.6	2.47	2.06	5.29	4.46	3.85
gene778	887.04	1344.99	1446.41	672.84	830.2	663.54
gene779	0.16	0.28	0.18	0.55	0.65	0.42
gene780	37.53	72.93	62.86	77.91	56.75	80.21
gene781	60.19	81.27	93.78	70.99	120.79	85.27
gene782	182.37	228.93	289.19	162.04	118.17	117.51
gene783	26.72	39.76	41.99	61.06	54.86	57.74
gene784	2.7	5.39	3.38	18.21	7.15	9.08
gene785	0.0	1.12	0.6	0.0	0.52	2.03
gene786	1.82	2.08	2.04	5.08	3.69	3.77
gene787	2.71	0.9	3.36	14.83	12.92	10.23
gene788	1.33	0.86	1.18	2.26	2.05	2.42
gene789	5.61	4.42	8.71	5.86	7.81	8.3
gene790	141.31	186.43	205.53	50.25	56.37	51.81
gene791	151.73	201.17	224.46	237.39	235.45	254.3
